study_id,trial_id,publication_id,endpoint_key,source_id,extraction_id
rct_trial__31535768__NO_PMCID,dapa_hf,pub_dapa_hf_2019,cv_death_or_hf_hospitalization,rct_extractor_v5,bridge_dapa_hf_primary
rct_trial__36027577__NO_PMCID,deliver,pub_deliver_2022,cv_death_or_hf_hospitalization,rct_extractor_v5,bridge_deliver_primary
