extraction_id,publication_id,trial_id,endpoint_key,effect_measure,reported_effect,reported_ci_lower,reported_ci_upper,treatment_events,control_events,treatment_n,control_n,source_text,source_id,source_type,locator,confidence,source_file,quote,parser_name
ext_dapa_hf_primary,pub_dapa_hf_2019,dapa_hf,cv_death_or_hf_hospitalization,HR,0.74,0.65,0.85,386,502,2373,2371,"The primary outcome occurred in 386 of 2373 patients (16.3%) in the dapagliflozin group and in 502 of 2371 patients (21.2%) in the placebo group (HR 0.74; 95% CI, 0.65 to 0.85; P<0.001).",sglt2i_hf_review,html_seed,line=193,0.98,C:/Users/user/SGLT2i_HF_REVIEW.html,HR 0.74; 95% CI 0.65 to 0.85,manual_seed_from_local_review
ext_emperor_reduced_primary,pub_emperor_reduced_2020,emperor_reduced,cv_death_or_hf_hospitalization,HR,0.75,0.65,0.86,361,462,1863,1867,"A primary outcome event occurred in 361 of 1863 patients (19.4%) in the empagliflozin group and in 462 of 1867 patients (24.7%) in the placebo group (HR 0.75; 95% CI, 0.65 to 0.86; P<0.001).",sglt2i_hf_review,html_seed,line=194,0.98,C:/Users/user/SGLT2i_HF_REVIEW.html,HR 0.75; 95% CI 0.65 to 0.86,manual_seed_from_local_review
ext_emperor_preserved_primary,pub_emperor_preserved_2021,emperor_preserved,cv_death_or_hf_hospitalization,HR,0.79,0.69,0.90,415,511,2997,2991,"The primary outcome occurred in 415 of 2997 patients (13.8%) in the empagliflozin group and in 511 of 2991 patients (17.1%) in the placebo group (HR 0.79; 95% CI, 0.69 to 0.90; P<0.001).",sglt2i_hf_review,html_seed,line=195,0.98,C:/Users/user/SGLT2i_HF_REVIEW.html,HR 0.79; 95% CI 0.69 to 0.90,manual_seed_from_local_review
ext_deliver_primary,pub_deliver_2022,deliver,cv_death_or_hf_hospitalization,HR,0.82,0.73,0.92,512,610,3131,3132,"The primary outcome occurred in 512 of 3131 patients (16.4%) in the dapagliflozin group and in 610 of 3132 patients (19.5%) in the placebo group (HR 0.82; 95% CI, 0.73 to 0.92; P<0.001).",sglt2i_hf_review,html_seed,line=196,0.98,C:/Users/user/SGLT2i_HF_REVIEW.html,HR 0.82; 95% CI 0.73 to 0.92,manual_seed_from_local_review
