publication_id,trial_id,pmid,title,journal,year,publication_date,endpoint_key,endpoint_reported,design,source_file
pub_dapa_hf_2019,dapa_hf,31535768,Dapagliflozin in Patients with Heart Failure and Reduced Ejection Fraction,New England Journal of Medicine,2019,2019-09-01,cv_death_or_hf_hospitalization,true,rct,SGLT2i_HF_REVIEW.html
pub_emperor_reduced_2020,emperor_reduced,32865377,Empagliflozin Outcome Trial in Patients with Chronic Heart Failure and a Reduced Ejection Fraction,New England Journal of Medicine,2020,2020-09-01,cv_death_or_hf_hospitalization,true,rct,SGLT2i_HF_REVIEW.html
pub_emperor_preserved_2021,emperor_preserved,34449189,Empagliflozin in Heart Failure with a Preserved Ejection Fraction,New England Journal of Medicine,2021,2021-09-01,cv_death_or_hf_hospitalization,true,rct,SGLT2i_HF_REVIEW.html
pub_deliver_2022,deliver,36027577,Dapagliflozin in Heart Failure with Mildly Reduced or Preserved Ejection Fraction,New England Journal of Medicine,2022,2022-09-01,cv_death_or_hf_hospitalization,true,rct,SGLT2i_HF_REVIEW.html
